trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
10421956,6/30/2016 18:23,6/30/2016 18:28,4573,304,110,Dearborn St & Erie St,51,Clark St & Randolph St,Subscriber,Male,1979
10421828,6/30/2016 18:19,6/30/2016 18:34,2774,907,50,Clark St & Congress Pkwy,172,Rush St & Cedar St,Subscriber,Male,1978
10421711,6/30/2016 18:16,6/30/2016 18:23,3751,428,60,Dayton St & North Ave,307,Southport Ave & Clybourn Ave,Subscriber,Female,1990
10421585,6/30/2016 18:12,6/30/2016 18:31,4121,1131,194,Wabash Ave & Wacker Pl,29,Noble St & Milwaukee Ave,Subscriber,Female,1985
10421462,6/30/2016 18:09,6/30/2016 18:27,2549,1109,17,Wood St & Division St,87,Racine Ave & Fullerton Ave,Customer,,
10421355,6/30/2016 18:06,6/30/2016 18:07,5601,86,280,Morgan St & 31st St,280,Morgan St & 31st St,Subscriber,Male,1984
10421249,6/30/2016 18:02,6/30/2016 18:21,5566,1125,108,Halsted St & Polk St,120,Wentworth Ave & Archer Ave,Customer,,
10421139,6/30/2016 17:58,6/30/2016 18:09,4072,662,296,Broadway & Belmont Ave,117,Wilton Ave & Belmont Ave,Subscriber,Male,1989
10421028,6/30/2016 17:56,6/30/2016 17:59,2380,213,117,Wilton Ave & Belmont Ave,154,Southport Ave & Belmont Ave,Subscriber,Male,1991
10420907,6/30/2016 17:53,6/30/2016 18:09,3299,953,331,Halsted St & Blackhawk St (*),99,Lake Shore Dr & Ohio St,Subscriber,Male,1989
10420772,6/30/2016 17:50,6/30/2016 18:01,5376,683,182,Wells St & Elm St,77,Clinton St & Madison St,Subscriber,Male,1991
10420652,6/30/2016 17:47,6/30/2016 18:14,2016,1623,180,Ritchie Ct & Banks St,304,Broadway & Waveland Ave,Subscriber,Male,1987
10420531,6/30/2016 17:43,6/30/2016 17:53,4970,571,53,Wells St & Huron St,141,Clark St & Lincoln Ave,Subscriber,Female,1978
10420417,6/30/2016 17:40,6/30/2016 17:44,1411,254,309,Leavitt St & Armitage Ave,222,Milwaukee Ave & Rockwell St,Subscriber,Male,1990
10420302,6/30/2016 17:37,6/30/2016 17:41,5701,216,174,Canal St & Madison St,198,Green St & Madison St,Subscriber,Male,1989
10420186,6/30/2016 17:34,6/30/2016 17:49,1237,938,45,Michigan Ave & Congress Pkwy,341,Adler Planetarium,Subscriber,Male,1994
10420073,6/30/2016 17:31,6/30/2016 17:40,3032,527,212,Orleans St & Ohio St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1989
10419968,6/30/2016 17:28,6/30/2016 17:47,5141,1108,284,Michigan Ave & Jackson Blvd,268,Lake Shore Dr & North Blvd,Subscriber,Male,1986
10419856,6/30/2016 17:25,6/30/2016 17:55,2410,1764,186,Ogden Ave & Race Ave,259,California Ave & Francis Pl,Subscriber,Male,1988
10419748,6/30/2016 17:22,6/30/2016 17:29,1849,398,81,Daley Center Plaza,110,Dearborn St & Erie St,Subscriber,Female,1993
10419637,6/30/2016 17:20,6/30/2016 17:58,4526,2279,500,Central Park Ave & Elbridge Ave,500,Central Park Ave & Elbridge Ave,Subscriber,Male,1982
